chart_date,chart_type,rank,title,artist,url
2000-01-01,rock,1,No Leaf Clover,Metallica,https://tunecaster.com/charts/00/rock0001.html
2000-01-01,rock,2,Falling Away From Me,KoRn,https://tunecaster.com/charts/00/rock0001.html
2000-01-01,rock,3,Into The Void,Nine Inch Nails,https://tunecaster.com/charts/00/rock0001.html
2000-01-01,rock,4,All The Small Things,Blink 182,https://tunecaster.com/charts/00/rock0001.html
2000-01-01,rock,5,Little Black Backpack,Stroke 9,https://tunecaster.com/charts/00/rock0001.html
2000-01-01,rock,6,Nobody's Real,Powerman 5000,https://tunecaster.com/charts/00/rock0001.html
2000-01-01,rock,7,Brand New Day,Sting,https://tunecaster.com/charts/00/rock0001.html
2000-01-01,rock,8,Everlasting Gaze,The Smashing Pumpkins,https://tunecaster.com/charts/00/rock0001.html
2000-01-01,rock,9,The Great Beyond,R.E.M.,https://tunecaster.com/charts/00/rock0001.html
2000-01-01,rock,10,Take A Picture,Filter,https://tunecaster.com/charts/00/rock0001.html
2000-01-01,rock,11,Alive,Beastie Boys,https://tunecaster.com/charts/00/rock0001.html
2000-01-01,rock,12,Heaven And Hot Rods,Stone Temple Pilots,https://tunecaster.com/charts/00/rock0001.html
2000-01-01,rock,13,Otherside,Red Hot Chili Peppers,https://tunecaster.com/charts/00/rock0001.html
2000-01-01,rock,14,Hanginaround,Counting Crows,https://tunecaster.com/charts/00/rock0001.html
2000-01-01,rock,15,Voodoo,Godsmack,https://tunecaster.com/charts/00/rock0001.html
2000-01-01,rock,16,Everything You Want,Vertical Horizon,https://tunecaster.com/charts/00/rock0001.html
2000-01-01,rock,17,What If,Creed,https://tunecaster.com/charts/00/rock0001.html
2000-01-01,rock,18,Re-arranged,Limp Bizkit,https://tunecaster.com/charts/00/rock0001.html
2000-01-01,rock,19,Pardon Me,Incubus,https://tunecaster.com/charts/00/rock0001.html
2000-01-01,rock,20,She's Got Issues,The Offspring,https://tunecaster.com/charts/00/rock0001.html
2000-01-01,rock,21,Miserable,Lit,https://tunecaster.com/charts/00/rock0001.html
2000-01-01,rock,22,Higher,Creed,https://tunecaster.com/charts/00/rock0001.html
2000-01-01,rock,23,The Chemicals Between Us,Bush,https://tunecaster.com/charts/00/rock0001.html
2000-01-01,rock,24,Crushed,Limp Bizkit,https://tunecaster.com/charts/00/rock0001.html
2000-01-01,rock,25,Never Let You Go,Third Eye Blind,https://tunecaster.com/charts/00/rock0001.html
